team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Liberty,Conference USA,2-1,1-1,4.28,7.86,-1.1,-8.95,Medium,1.0,47.69,51.68,65.51,1707.33,0.5,14.5,1441.0,-2.444,0.081878,0.078325,0.0,0.0,633.35,,
North Dakota State,Mountain West,4-0,3-0,4.24,5.28,2.67,-2.62,Medium,1.0,62.3,30.79,69.59,1572.25,1.0,17.667,1414.0,3.833,0.156825,-0.156098,0.0,0.0,515.59,,
TCU,Big 12,2-1,1-1,3.77,2.74,5.31,2.57,Medium,1.0,77.87,57.59,55.93,1607.33,0.5,9.5,1366.5,1.389,0.252838,-0.144467,0.0,0.0,730.79,,
South Florida,American Athletic,3-0,2-0,3.74,4.15,3.12,-1.03,Medium,1.0,75.27,49.72,57.52,1679.0,1.0,7.0,1454.5,2.444,0.338424,0.040599,0.0,0.0,703.81,,
Clemson,ACC,2-1,2-1,3.59,1.23,7.14,5.91,Medium,1.0,27.57,98.78,51.28,1553.0,0.6667,-6.0,1463.333,-10.278,-0.055581,0.103151,0.0,0.0,862.85,,
Maryland,Big Ten,2-1,1-1,3.35,4.26,1.99,-2.27,Medium,1.0,77.01,48.7,58.88,1464.33,0.5,7.5,1476.0,7.5,0.346887,0.013541,0.0,0.0,719.64,,
Michigan State,Big Ten,2-1,2-1,3.05,4.29,1.2,-3.1,Medium,1.0,46.31,43.5,77.15,1511.0,0.6667,7.0,1673.333,7.389,0.084934,0.113923,0.0,0.0,685.02,,
New Mexico,Mountain West,2-1,1-1,2.75,5.21,-0.95,-6.17,Medium,1.0,64.96,6.33,67.33,1560.33,0.5,11.5,1552.0,18.0,0.102085,-0.219534,0.0,0.0,568.19,,
Arizona State,Big 12,2-1,1-1,2.17,-0.51,6.19,6.69,Medium,1.0,48.27,56.45,47.72,1546.0,0.5,-10.5,1667.0,2.556,0.058159,0.022552,0.0,0.0,722.0,,
West Virginia,Big 12,3-0,2-0,1.72,2.44,0.64,-1.81,Medium,1.0,63.88,58.78,60.11,1379.33,1.0,9.0,1465.0,3.722,0.280573,0.029249,0.0,0.0,707.6,,
