years,prior_decay_games,min_prior_weight,prior_scale,ridge_alpha,games,market_weight,actual_weight,weighted_model_vs_market_mae,weighted_model_vs_actual_mae,weighted_blended_mae,weighted_model_vs_market_corr
"2023,2024,2025",4.0,0.0,14.0,0.1,2125,0.8,0.2,5.119,13.2561,6.7464,0.8834
"2023,2024,2025",4.0,0.05,14.0,0.1,2125,0.8,0.2,5.119,13.2561,6.7464,0.8834
"2023,2024,2025",4.0,0.12,14.0,0.1,2125,0.8,0.2,5.1198,13.258,6.7474,0.8834
"2023,2024,2025",2.5,0.05,8.0,0.1,2125,0.8,0.2,5.1267,13.2898,6.7593,0.8834
"2023,2024,2025",2.5,0.0,8.0,0.1,2125,0.8,0.2,5.1274,13.2889,6.7597,0.8835
"2023,2024,2025",4.0,0.08,14.0,0.2,2125,0.8,0.2,5.1345,13.2617,6.76,0.8831
"2023,2024,2025",4.0,0.0,14.0,0.2,2125,0.8,0.2,5.1347,13.2615,6.7601,0.8831
"2023,2024,2025",4.0,0.05,14.0,0.2,2125,0.8,0.2,5.1347,13.2615,6.7601,0.8831
"2023,2024,2025",4.0,0.12,14.0,0.2,2125,0.8,0.2,5.1354,13.2637,6.7611,0.8831
"2023,2024,2025",2.5,0.08,8.0,0.1,2125,0.8,0.2,5.13,13.2914,6.7623,0.8835
"2023,2024,2025",2.5,0.05,8.0,0.2,2125,0.8,0.2,5.132,13.2867,6.7629,0.8853
"2023,2024,2025",2.5,0.0,8.0,0.75,2125,0.8,0.2,5.1325,13.2845,6.7629,0.8878
"2023,2024,2025",2.5,0.0,8.0,0.2,2125,0.8,0.2,5.1325,13.2857,6.7631,0.8852
"2023,2024,2025",2.5,0.05,8.0,0.75,2125,0.8,0.2,5.1327,13.2862,6.7634,0.8877
"2023,2024,2025",2.5,0.0,8.0,0.5,2125,0.8,0.2,5.1341,13.2855,6.7644,0.887
"2023,2024,2025",2.5,0.05,8.0,0.5,2125,0.8,0.2,5.134,13.2869,6.7645,0.887
"2023,2024,2025",2.5,0.0,8.0,0.35,2125,0.8,0.2,5.1354,13.2863,6.7655,0.8863
"2023,2024,2025",2.5,0.05,8.0,0.35,2125,0.8,0.2,5.1351,13.2874,6.7656,0.8864
"2023,2024,2025",2.5,0.08,8.0,0.2,2125,0.8,0.2,5.1353,13.2887,6.766,0.8853
"2023,2024,2025",2.5,0.0,8.0,1.0,2125,0.8,0.2,5.1356,13.2878,6.7661,0.888
"2023,2024,2025",2.5,0.05,8.0,1.0,2125,0.8,0.2,5.1359,13.2897,6.7667,0.888
"2023,2024,2025",2.5,0.08,8.0,0.75,2125,0.8,0.2,5.1369,13.2893,6.7674,0.8877
"2023,2024,2025",2.5,0.08,8.0,0.5,2125,0.8,0.2,5.1379,13.2896,6.7682,0.8871
"2023,2024,2025",2.5,0.08,8.0,0.35,2125,0.8,0.2,5.1386,13.2898,6.7689,0.8864
"2023,2024,2025",2.5,0.08,8.0,1.0,2125,0.8,0.2,5.1404,13.2931,6.7709,0.8879
"2023,2024,2025",2.5,0.12,8.0,0.1,2125,0.8,0.2,5.1439,13.295,6.7741,0.8835
"2023,2024,2025",4.0,0.08,14.0,0.35,2125,0.8,0.2,5.1528,13.2678,6.7758,0.883
"2023,2024,2025",4.0,0.0,14.0,0.35,2125,0.8,0.2,5.1529,13.2676,6.7759,0.883
"2023,2024,2025",4.0,0.05,14.0,0.35,2125,0.8,0.2,5.1529,13.2676,6.7759,0.883
"2023,2024,2025",4.0,0.12,14.0,0.35,2125,0.8,0.2,5.1539,13.2702,6.7771,0.883
"2023,2024,2025",2.5,0.12,8.0,0.2,2125,0.8,0.2,5.1499,13.2923,6.7784,0.8852
"2023,2024,2025",2.5,0.12,8.0,0.5,2125,0.8,0.2,5.154,13.2937,6.782,0.8868
"2023,2024,2025",2.5,0.12,8.0,0.35,2125,0.8,0.2,5.1541,13.2936,6.782,0.8863
"2023,2024,2025",2.5,0.12,8.0,0.75,2125,0.8,0.2,5.1541,13.2942,6.7821,0.8875
"2023,2024,2025",4.0,0.0,14.0,0.5,2125,0.8,0.2,5.1609,13.2693,6.7826,0.8829
"2023,2024,2025",4.0,0.05,14.0,0.5,2125,0.8,0.2,5.1609,13.2693,6.7826,0.8829
"2023,2024,2025",4.0,0.08,14.0,0.5,2125,0.8,0.2,5.1609,13.2695,6.7826,0.8829
"2023,2024,2025",4.0,0.12,14.0,0.5,2125,0.8,0.2,5.1621,13.2724,6.7842,0.8829
"2023,2024,2025",2.5,0.12,8.0,1.0,2125,0.8,0.2,5.1584,13.2988,6.7865,0.8878
"2023,2024,2025",4.0,0.0,14.0,0.75,2125,0.8,0.2,5.1708,13.2722,6.7911,0.8828
"2023,2024,2025",4.0,0.05,14.0,0.75,2125,0.8,0.2,5.1708,13.2722,6.7911,0.8828
"2023,2024,2025",4.0,0.08,14.0,0.75,2125,0.8,0.2,5.1709,13.2724,6.7912,0.8828
"2023,2024,2025",4.0,0.12,14.0,0.75,2125,0.8,0.2,5.1726,13.2761,6.7933,0.8828
"2023,2024,2025",4.0,0.0,14.0,1.0,2125,0.8,0.2,5.1839,13.2811,6.8034,0.8826
"2023,2024,2025",4.0,0.05,14.0,1.0,2125,0.8,0.2,5.1839,13.2811,6.8034,0.8826
"2023,2024,2025",4.0,0.08,14.0,1.0,2125,0.8,0.2,5.184,13.2813,6.8035,0.8826
"2023,2024,2025",4.0,0.12,14.0,1.0,2125,0.8,0.2,5.1865,13.2856,6.8063,0.8825
"2023,2024,2025",4.0,0.08,12.0,0.1,2125,0.8,0.2,5.1971,13.2941,6.8165,0.8838
"2023,2024,2025",4.0,0.0,12.0,0.1,2125,0.8,0.2,5.1974,13.2938,6.8167,0.8838
"2023,2024,2025",4.0,0.05,12.0,0.1,2125,0.8,0.2,5.1974,13.2938,6.8167,0.8838
"2023,2024,2025",4.0,0.12,12.0,0.1,2125,0.8,0.2,5.1978,13.296,6.8175,0.8838
"2023,2024,2025",4.0,0.08,12.0,0.2,2125,0.8,0.2,5.2133,13.296,6.8298,0.8839
"2023,2024,2025",4.0,0.0,12.0,0.2,2125,0.8,0.2,5.2135,13.2958,6.8299,0.8839
"2023,2024,2025",4.0,0.05,12.0,0.2,2125,0.8,0.2,5.2135,13.2958,6.8299,0.8839
"2023,2024,2025",4.0,0.12,12.0,0.2,2125,0.8,0.2,5.2142,13.2982,6.831,0.8839
"2023,2024,2025",5.0,0.12,14.0,0.1,2125,0.8,0.2,5.2263,13.294,6.8398,0.881
"2023,2024,2025",5.0,0.0,14.0,0.1,2125,0.8,0.2,5.2265,13.2937,6.8399,0.881
"2023,2024,2025",5.0,0.05,14.0,0.1,2125,0.8,0.2,5.2265,13.2937,6.8399,0.881
"2023,2024,2025",5.0,0.08,14.0,0.1,2125,0.8,0.2,5.2265,13.2937,6.8399,0.881
"2023,2024,2025",4.0,0.08,12.0,0.35,2125,0.8,0.2,5.23,13.3012,6.8443,0.884
"2023,2024,2025",4.0,0.0,12.0,0.35,2125,0.8,0.2,5.2301,13.301,6.8443,0.884
"2023,2024,2025",4.0,0.05,12.0,0.35,2125,0.8,0.2,5.2301,13.301,6.8443,0.884
"2023,2024,2025",4.0,0.12,12.0,0.35,2125,0.8,0.2,5.231,13.3037,6.8455,0.884
"2023,2024,2025",4.0,0.08,12.0,0.5,2125,0.8,0.2,5.2384,13.3031,6.8514,0.884
"2023,2024,2025",4.0,0.0,12.0,0.5,2125,0.8,0.2,5.2385,13.3029,6.8514,0.884
"2023,2024,2025",4.0,0.05,12.0,0.5,2125,0.8,0.2,5.2385,13.3029,6.8514,0.884
"2023,2024,2025",4.0,0.12,12.0,0.5,2125,0.8,0.2,5.2398,13.3062,6.8531,0.884
"2023,2024,2025",5.0,0.12,14.0,0.2,2125,0.8,0.2,5.2478,13.3016,6.8586,0.8803
"2023,2024,2025",5.0,0.0,14.0,0.2,2125,0.8,0.2,5.248,13.3014,6.8587,0.8803
"2023,2024,2025",5.0,0.05,14.0,0.2,2125,0.8,0.2,5.248,13.3014,6.8587,0.8803
"2023,2024,2025",5.0,0.08,14.0,0.2,2125,0.8,0.2,5.248,13.3014,6.8587,0.8803
"2023,2024,2025",4.0,0.0,12.0,0.75,2125,0.8,0.2,5.2472,13.3055,6.8589,0.884
"2023,2024,2025",4.0,0.05,12.0,0.75,2125,0.8,0.2,5.2472,13.3055,6.8589,0.884
"2023,2024,2025",4.0,0.08,12.0,0.75,2125,0.8,0.2,5.2473,13.3058,6.859,0.884
"2023,2024,2025",4.0,0.12,12.0,0.75,2125,0.8,0.2,5.2492,13.3095,6.8612,0.884
"2023,2024,2025",4.0,0.0,12.0,1.0,2125,0.8,0.2,5.2584,13.314,6.8695,0.8838
"2023,2024,2025",4.0,0.05,12.0,1.0,2125,0.8,0.2,5.2584,13.314,6.8695,0.8838
"2023,2024,2025",4.0,0.08,12.0,1.0,2125,0.8,0.2,5.2586,13.3142,6.8697,0.8838
"2023,2024,2025",4.0,0.12,12.0,1.0,2125,0.8,0.2,5.261,13.3183,6.8725,0.8839
"2023,2024,2025",5.0,0.12,14.0,0.35,2125,0.8,0.2,5.2744,13.3127,6.8821,0.8798
"2023,2024,2025",5.0,0.0,14.0,0.35,2125,0.8,0.2,5.2746,13.3125,6.8822,0.8798
"2023,2024,2025",5.0,0.05,14.0,0.35,2125,0.8,0.2,5.2746,13.3125,6.8822,0.8798
"2023,2024,2025",5.0,0.08,14.0,0.35,2125,0.8,0.2,5.2746,13.3125,6.8822,0.8798
"2023,2024,2025",5.0,0.12,14.0,0.5,2125,0.8,0.2,5.2904,13.3174,6.8958,0.8791
"2023,2024,2025",5.0,0.0,14.0,0.5,2125,0.8,0.2,5.2905,13.3171,6.8958,0.8791
"2023,2024,2025",5.0,0.05,14.0,0.5,2125,0.8,0.2,5.2905,13.3171,6.8958,0.8791
"2023,2024,2025",5.0,0.08,14.0,0.5,2125,0.8,0.2,5.2905,13.3171,6.8958,0.8791
"2023,2024,2025",4.0,0.08,10.0,0.1,2125,0.8,0.2,5.2857,13.3364,6.8959,0.8839
"2023,2024,2025",4.0,0.0,10.0,0.1,2125,0.8,0.2,5.2859,13.3362,6.896,0.8838
"2023,2024,2025",4.0,0.05,10.0,0.1,2125,0.8,0.2,5.2859,13.3362,6.896,0.8838
"2023,2024,2025",4.0,0.12,10.0,0.1,2125,0.8,0.2,5.2865,13.3388,6.897,0.8839
"2023,2024,2025",4.0,0.08,10.0,0.2,2125,0.8,0.2,5.3003,13.3367,6.9076,0.8842
"2023,2024,2025",4.0,0.0,10.0,0.2,2125,0.8,0.2,5.3005,13.3365,6.9077,0.8842
"2023,2024,2025",4.0,0.05,10.0,0.2,2125,0.8,0.2,5.3005,13.3365,6.9077,0.8842
"2023,2024,2025",4.0,0.12,10.0,0.2,2125,0.8,0.2,5.3014,13.3392,6.9089,0.8843
"2023,2024,2025",5.0,0.12,14.0,0.75,2125,0.8,0.2,5.3096,13.3244,6.9126,0.8785
"2023,2024,2025",5.0,0.0,14.0,0.75,2125,0.8,0.2,5.3097,13.3241,6.9126,0.8785
"2023,2024,2025",5.0,0.05,14.0,0.75,2125,0.8,0.2,5.3097,13.3241,6.9126,0.8785
"2023,2024,2025",5.0,0.08,14.0,0.75,2125,0.8,0.2,5.3097,13.3241,6.9126,0.8785
"2023,2024,2025",4.0,0.08,10.0,0.35,2125,0.8,0.2,5.3163,13.3407,6.9211,0.8847
"2023,2024,2025",4.0,0.0,10.0,0.35,2125,0.8,0.2,5.3164,13.3405,6.9212,0.8846
"2023,2024,2025",4.0,0.05,10.0,0.35,2125,0.8,0.2,5.3164,13.3405,6.9212,0.8846
"2023,2024,2025",4.0,0.12,10.0,0.35,2125,0.8,0.2,5.3176,13.3435,6.9228,0.8847
"2023,2024,2025",5.0,0.12,12.0,0.1,2125,0.8,0.2,5.3217,13.3367,6.9247,0.8819
"2023,2024,2025",5.0,0.0,12.0,0.1,2125,0.8,0.2,5.3219,13.3364,6.9248,0.8819
"2023,2024,2025",5.0,0.05,12.0,0.1,2125,0.8,0.2,5.3219,13.3364,6.9248,0.8819
"2023,2024,2025",5.0,0.08,12.0,0.1,2125,0.8,0.2,5.3219,13.3364,6.9248,0.8819
"2023,2024,2025",4.0,0.08,10.0,0.5,2125,0.8,0.2,5.3235,13.3418,6.9272,0.8848
"2023,2024,2025",4.0,0.0,10.0,0.5,2125,0.8,0.2,5.3237,13.3416,6.9273,0.8848
"2023,2024,2025",4.0,0.05,10.0,0.5,2125,0.8,0.2,5.3237,13.3416,6.9273,0.8848
"2023,2024,2025",4.0,0.12,10.0,0.5,2125,0.8,0.2,5.3252,13.3449,6.9291,0.8849
"2023,2024,2025",5.0,0.0,14.0,1.0,2125,0.8,0.2,5.3297,13.3357,6.9309,0.8779
"2023,2024,2025",5.0,0.05,14.0,1.0,2125,0.8,0.2,5.3297,13.3357,6.9309,0.8779
"2023,2024,2025",5.0,0.08,14.0,1.0,2125,0.8,0.2,5.3297,13.3357,6.9309,0.8779
"2023,2024,2025",5.0,0.12,14.0,1.0,2125,0.8,0.2,5.3297,13.3361,6.931,0.8779
"2023,2024,2025",4.0,0.08,10.0,0.75,2125,0.8,0.2,5.331,13.3441,6.9336,0.8849
"2023,2024,2025",4.0,0.0,10.0,0.75,2125,0.8,0.2,5.3311,13.3439,6.9337,0.885
"2023,2024,2025",4.0,0.05,10.0,0.75,2125,0.8,0.2,5.3311,13.3439,6.9337,0.885
"2023,2024,2025",4.0,0.12,10.0,0.75,2125,0.8,0.2,5.3331,13.3477,6.936,0.885
"2023,2024,2025",5.0,0.12,12.0,0.2,2125,0.8,0.2,5.3424,13.3427,6.9425,0.8815
"2023,2024,2025",5.0,0.0,12.0,0.2,2125,0.8,0.2,5.3426,13.3425,6.9425,0.8815
"2023,2024,2025",5.0,0.05,12.0,0.2,2125,0.8,0.2,5.3426,13.3425,6.9425,0.8815
"2023,2024,2025",5.0,0.08,12.0,0.2,2125,0.8,0.2,5.3426,13.3425,6.9425,0.8815
"2023,2024,2025",4.0,0.08,10.0,1.0,2125,0.8,0.2,5.3409,13.3519,6.9431,0.8851
"2023,2024,2025",4.0,0.0,10.0,1.0,2125,0.8,0.2,5.341,13.3517,6.9431,0.885
"2023,2024,2025",4.0,0.05,10.0,1.0,2125,0.8,0.2,5.341,13.3517,6.9431,0.885
"2023,2024,2025",4.0,0.12,10.0,1.0,2125,0.8,0.2,5.3434,13.356,6.9459,0.885
