years,prior_decay_games,min_prior_weight,prior_scale,ridge_alpha,games,market_weight,actual_weight,weighted_model_vs_market_mae,weighted_model_vs_actual_mae,weighted_blended_mae,weighted_model_vs_market_corr
"2023,2024,2025",4.0,0.05,12.0,0.2,2125,0.7,0.3,5.2135,13.2958,7.6382,0.8839
"2023,2024,2025",4.0,0.12,12.0,0.2,2125,0.7,0.3,5.2142,13.2982,7.6394,0.8839
"2023,2024,2025",5.0,0.12,14.0,0.1,2125,0.7,0.3,5.2263,13.294,7.6466,0.881
"2023,2024,2025",5.0,0.0,14.0,0.1,2125,0.7,0.3,5.2265,13.2937,7.6466,0.881
"2023,2024,2025",5.0,0.05,14.0,0.1,2125,0.7,0.3,5.2265,13.2937,7.6466,0.881
"2023,2024,2025",5.0,0.08,14.0,0.1,2125,0.7,0.3,5.2265,13.2937,7.6466,0.881
"2023,2024,2025",4.0,0.08,12.0,0.35,2125,0.7,0.3,5.23,13.3012,7.6514,0.884
"2023,2024,2025",4.0,0.0,12.0,0.35,2125,0.7,0.3,5.2301,13.301,7.6514,0.884
"2023,2024,2025",4.0,0.05,12.0,0.35,2125,0.7,0.3,5.2301,13.301,7.6514,0.884
"2023,2024,2025",4.0,0.12,12.0,0.35,2125,0.7,0.3,5.231,13.3037,7.6528,0.884
"2023,2024,2025",4.0,0.08,12.0,0.5,2125,0.7,0.3,5.2384,13.3031,7.6578,0.884
"2023,2024,2025",4.0,0.0,12.0,0.5,2125,0.7,0.3,5.2385,13.3029,7.6578,0.884
"2023,2024,2025",4.0,0.05,12.0,0.5,2125,0.7,0.3,5.2385,13.3029,7.6578,0.884
"2023,2024,2025",4.0,0.12,12.0,0.5,2125,0.7,0.3,5.2398,13.3062,7.6597,0.884
"2023,2024,2025",5.0,0.12,14.0,0.2,2125,0.7,0.3,5.2478,13.3016,7.664,0.8803
"2023,2024,2025",5.0,0.0,14.0,0.2,2125,0.7,0.3,5.248,13.3014,7.664,0.8803
"2023,2024,2025",5.0,0.05,14.0,0.2,2125,0.7,0.3,5.248,13.3014,7.664,0.8803
"2023,2024,2025",5.0,0.08,14.0,0.2,2125,0.7,0.3,5.248,13.3014,7.664,0.8803
"2023,2024,2025",4.0,0.0,12.0,0.75,2125,0.7,0.3,5.2472,13.3055,7.6647,0.884
"2023,2024,2025",4.0,0.05,12.0,0.75,2125,0.7,0.3,5.2472,13.3055,7.6647,0.884
"2023,2024,2025",4.0,0.08,12.0,0.75,2125,0.7,0.3,5.2473,13.3058,7.6648,0.884
"2023,2024,2025",4.0,0.12,12.0,0.75,2125,0.7,0.3,5.2492,13.3095,7.6673,0.884
"2023,2024,2025",4.0,0.0,12.0,1.0,2125,0.7,0.3,5.2584,13.314,7.6751,0.8838
"2023,2024,2025",4.0,0.05,12.0,1.0,2125,0.7,0.3,5.2584,13.314,7.6751,0.8838
"2023,2024,2025",4.0,0.08,12.0,1.0,2125,0.7,0.3,5.2586,13.3142,7.6753,0.8838
"2023,2024,2025",4.0,0.12,12.0,1.0,2125,0.7,0.3,5.261,13.3183,7.6782,0.8839
"2023,2024,2025",5.0,0.12,14.0,0.35,2125,0.7,0.3,5.2744,13.3127,7.6859,0.8798
"2023,2024,2025",5.0,0.0,14.0,0.35,2125,0.7,0.3,5.2746,13.3125,7.686,0.8798
"2023,2024,2025",5.0,0.05,14.0,0.35,2125,0.7,0.3,5.2746,13.3125,7.686,0.8798
"2023,2024,2025",5.0,0.08,14.0,0.35,2125,0.7,0.3,5.2746,13.3125,7.686,0.8798
"2023,2024,2025",5.0,0.12,14.0,0.5,2125,0.7,0.3,5.2904,13.3174,7.6985,0.8791
"2023,2024,2025",5.0,0.0,14.0,0.5,2125,0.7,0.3,5.2905,13.3171,7.6985,0.8791
"2023,2024,2025",5.0,0.05,14.0,0.5,2125,0.7,0.3,5.2905,13.3171,7.6985,0.8791
"2023,2024,2025",5.0,0.08,14.0,0.5,2125,0.7,0.3,5.2905,13.3171,7.6985,0.8791
"2023,2024,2025",4.0,0.08,10.0,0.1,2125,0.7,0.3,5.2857,13.3364,7.7009,0.8839
"2023,2024,2025",4.0,0.0,10.0,0.1,2125,0.7,0.3,5.2859,13.3362,7.701,0.8838
"2023,2024,2025",4.0,0.05,10.0,0.1,2125,0.7,0.3,5.2859,13.3362,7.701,0.8838
"2023,2024,2025",4.0,0.12,10.0,0.1,2125,0.7,0.3,5.2865,13.3388,7.7022,0.8839
"2023,2024,2025",4.0,0.08,10.0,0.2,2125,0.7,0.3,5.3003,13.3367,7.7113,0.8842
"2023,2024,2025",4.0,0.0,10.0,0.2,2125,0.7,0.3,5.3005,13.3365,7.7113,0.8842
"2023,2024,2025",4.0,0.05,10.0,0.2,2125,0.7,0.3,5.3005,13.3365,7.7113,0.8842
"2023,2024,2025",4.0,0.12,10.0,0.2,2125,0.7,0.3,5.3014,13.3392,7.7127,0.8843
"2023,2024,2025",5.0,0.0,14.0,0.75,2125,0.7,0.3,5.3097,13.3241,7.714,0.8785
"2023,2024,2025",5.0,0.05,14.0,0.75,2125,0.7,0.3,5.3097,13.3241,7.714,0.8785
"2023,2024,2025",5.0,0.08,14.0,0.75,2125,0.7,0.3,5.3097,13.3241,7.714,0.8785
"2023,2024,2025",5.0,0.12,14.0,0.75,2125,0.7,0.3,5.3096,13.3244,7.7141,0.8785
"2023,2024,2025",4.0,0.08,10.0,0.35,2125,0.7,0.3,5.3163,13.3407,7.7236,0.8847
"2023,2024,2025",4.0,0.0,10.0,0.35,2125,0.7,0.3,5.3164,13.3405,7.7236,0.8846
"2023,2024,2025",4.0,0.05,10.0,0.35,2125,0.7,0.3,5.3164,13.3405,7.7236,0.8846
"2023,2024,2025",4.0,0.12,10.0,0.35,2125,0.7,0.3,5.3176,13.3435,7.7254,0.8847
"2023,2024,2025",5.0,0.12,12.0,0.1,2125,0.7,0.3,5.3217,13.3367,7.7262,0.8819
"2023,2024,2025",5.0,0.0,12.0,0.1,2125,0.7,0.3,5.3219,13.3364,7.7262,0.8819
"2023,2024,2025",5.0,0.05,12.0,0.1,2125,0.7,0.3,5.3219,13.3364,7.7262,0.8819
"2023,2024,2025",5.0,0.08,12.0,0.1,2125,0.7,0.3,5.3219,13.3364,7.7262,0.8819
"2023,2024,2025",4.0,0.08,10.0,0.5,2125,0.7,0.3,5.3235,13.3418,7.729,0.8848
"2023,2024,2025",4.0,0.0,10.0,0.5,2125,0.7,0.3,5.3237,13.3416,7.7291,0.8848
"2023,2024,2025",4.0,0.05,10.0,0.5,2125,0.7,0.3,5.3237,13.3416,7.7291,0.8848
"2023,2024,2025",4.0,0.12,10.0,0.5,2125,0.7,0.3,5.3252,13.3449,7.7311,0.8849
"2023,2024,2025",5.0,0.0,14.0,1.0,2125,0.7,0.3,5.3297,13.3357,7.7315,0.8779
"2023,2024,2025",5.0,0.05,14.0,1.0,2125,0.7,0.3,5.3297,13.3357,7.7315,0.8779
"2023,2024,2025",5.0,0.08,14.0,1.0,2125,0.7,0.3,5.3297,13.3357,7.7315,0.8779
"2023,2024,2025",5.0,0.12,14.0,1.0,2125,0.7,0.3,5.3297,13.3361,7.7316,0.8779
"2023,2024,2025",4.0,0.08,10.0,0.75,2125,0.7,0.3,5.331,13.3441,7.7349,0.8849
"2023,2024,2025",4.0,0.0,10.0,0.75,2125,0.7,0.3,5.3311,13.3439,7.735,0.885
"2023,2024,2025",4.0,0.05,10.0,0.75,2125,0.7,0.3,5.3311,13.3439,7.735,0.885
"2023,2024,2025",4.0,0.12,10.0,0.75,2125,0.7,0.3,5.3331,13.3477,7.7375,0.885
"2023,2024,2025",5.0,0.12,12.0,0.2,2125,0.7,0.3,5.3424,13.3427,7.7425,0.8815
"2023,2024,2025",5.0,0.0,12.0,0.2,2125,0.7,0.3,5.3426,13.3425,7.7425,0.8815
"2023,2024,2025",5.0,0.05,12.0,0.2,2125,0.7,0.3,5.3426,13.3425,7.7425,0.8815
"2023,2024,2025",5.0,0.08,12.0,0.2,2125,0.7,0.3,5.3426,13.3425,7.7425,0.8815
"2023,2024,2025",4.0,0.08,10.0,1.0,2125,0.7,0.3,5.3409,13.3519,7.7442,0.8851
"2023,2024,2025",4.0,0.0,10.0,1.0,2125,0.7,0.3,5.341,13.3517,7.7442,0.885
"2023,2024,2025",4.0,0.05,10.0,1.0,2125,0.7,0.3,5.341,13.3517,7.7442,0.885
"2023,2024,2025",4.0,0.12,10.0,1.0,2125,0.7,0.3,5.3434,13.356,7.7472,0.885
"2023,2024,2025",5.0,0.12,12.0,0.35,2125,0.7,0.3,5.3676,13.3524,7.7631,0.8811
"2023,2024,2025",5.0,0.0,12.0,0.35,2125,0.7,0.3,5.3678,13.3522,7.7631,0.881
"2023,2024,2025",5.0,0.05,12.0,0.35,2125,0.7,0.3,5.3678,13.3522,7.7631,0.881
"2023,2024,2025",5.0,0.08,12.0,0.35,2125,0.7,0.3,5.3678,13.3522,7.7631,0.881
"2023,2024,2025",6.5,0.0,14.0,0.1,2125,0.7,0.3,5.3718,13.347,7.7644,0.8775
"2023,2024,2025",6.5,0.05,14.0,0.1,2125,0.7,0.3,5.3718,13.347,7.7644,0.8775
"2023,2024,2025",6.5,0.08,14.0,0.1,2125,0.7,0.3,5.3718,13.347,7.7644,0.8775
"2023,2024,2025",6.5,0.12,14.0,0.1,2125,0.7,0.3,5.3718,13.347,7.7644,0.8775
"2023,2024,2025",5.0,0.12,12.0,0.5,2125,0.7,0.3,5.3817,13.3564,7.7741,0.8808
"2023,2024,2025",5.0,0.0,12.0,0.5,2125,0.7,0.3,5.3818,13.3561,7.7741,0.8808
"2023,2024,2025",5.0,0.05,12.0,0.5,2125,0.7,0.3,5.3818,13.3561,7.7741,0.8808
"2023,2024,2025",5.0,0.08,12.0,0.5,2125,0.7,0.3,5.3818,13.3561,7.7741,0.8808
"2023,2024,2025",4.0,0.08,8.0,0.1,2125,0.7,0.3,5.3812,13.3852,7.7824,0.8834
"2023,2024,2025",4.0,0.0,8.0,0.1,2125,0.7,0.3,5.3814,13.385,7.7825,0.8834
"2023,2024,2025",4.0,0.05,8.0,0.1,2125,0.7,0.3,5.3814,13.385,7.7825,0.8834
"2023,2024,2025",4.0,0.12,8.0,0.1,2125,0.7,0.3,5.3823,13.3882,7.7841,0.8835
"2023,2024,2025",6.5,0.0,14.0,0.2,2125,0.7,0.3,5.4009,13.3579,7.788,0.8761
"2023,2024,2025",6.5,0.05,14.0,0.2,2125,0.7,0.3,5.4009,13.3579,7.788,0.8761
"2023,2024,2025",6.5,0.08,14.0,0.2,2125,0.7,0.3,5.4009,13.3579,7.788,0.8761
"2023,2024,2025",6.5,0.12,14.0,0.2,2125,0.7,0.3,5.4009,13.3579,7.788,0.8761
"2023,2024,2025",5.0,0.0,12.0,0.75,2125,0.7,0.3,5.3991,13.3624,7.7881,0.8805
"2023,2024,2025",5.0,0.05,12.0,0.75,2125,0.7,0.3,5.3991,13.3624,7.7881,0.8805
"2023,2024,2025",5.0,0.08,12.0,0.75,2125,0.7,0.3,5.3991,13.3624,7.7881,0.8805
"2023,2024,2025",5.0,0.12,12.0,0.75,2125,0.7,0.3,5.3991,13.3626,7.7881,0.8805
"2023,2024,2025",4.0,0.08,8.0,0.2,2125,0.7,0.3,5.3936,13.3846,7.7909,0.8843
"2023,2024,2025",4.0,0.0,8.0,0.2,2125,0.7,0.3,5.3939,13.3845,7.791,0.8843
"2023,2024,2025",4.0,0.05,8.0,0.2,2125,0.7,0.3,5.3939,13.3845,7.791,0.8843
"2023,2024,2025",4.0,0.12,8.0,0.2,2125,0.7,0.3,5.3952,13.3876,7.7929,0.8844
"2023,2024,2025",4.0,0.08,8.0,0.35,2125,0.7,0.3,5.4082,13.3877,7.8021,0.8848
"2023,2024,2025",4.0,0.0,8.0,0.35,2125,0.7,0.3,5.4085,13.3876,7.8022,0.8848
"2023,2024,2025",4.0,0.05,8.0,0.35,2125,0.7,0.3,5.4085,13.3876,7.8022,0.8848
"2023,2024,2025",5.0,0.0,12.0,1.0,2125,0.7,0.3,5.4172,13.373,7.8039,0.8801
"2023,2024,2025",5.0,0.05,12.0,1.0,2125,0.7,0.3,5.4172,13.373,7.8039,0.8801
"2023,2024,2025",5.0,0.08,12.0,1.0,2125,0.7,0.3,5.4172,13.373,7.8039,0.8801
"2023,2024,2025",5.0,0.12,12.0,1.0,2125,0.7,0.3,5.4172,13.3733,7.804,0.8801
"2023,2024,2025",4.0,0.12,8.0,0.35,2125,0.7,0.3,5.4099,13.3909,7.8042,0.885
"2023,2024,2025",4.0,0.08,8.0,0.5,2125,0.7,0.3,5.4146,13.3887,7.8069,0.8853
"2023,2024,2025",4.0,0.0,8.0,0.5,2125,0.7,0.3,5.4149,13.3886,7.807,0.8852
"2023,2024,2025",4.0,0.05,8.0,0.5,2125,0.7,0.3,5.4149,13.3886,7.807,0.8852
"2023,2024,2025",4.0,0.12,8.0,0.5,2125,0.7,0.3,5.4166,13.3922,7.8093,0.8853
"2023,2024,2025",4.0,0.08,8.0,0.75,2125,0.7,0.3,5.4212,13.3912,7.8122,0.8857
"2023,2024,2025",4.0,0.0,8.0,0.75,2125,0.7,0.3,5.4214,13.391,7.8123,0.8857
"2023,2024,2025",4.0,0.05,8.0,0.75,2125,0.7,0.3,5.4214,13.391,7.8123,0.8857
"2023,2024,2025",4.0,0.12,8.0,0.75,2125,0.7,0.3,5.4236,13.3949,7.815,0.8858
