week,team,opponent,site,team_rating,opponent_rating,projected_spread,favorite,favorite_spread,win_probability
13,Tennessee,Vanderbilt,away,15.49,13.24,-0.25,Vanderbilt,0.25,0.4938
1,Texas,Texas State,home,18.63,-0.75,21.88,Texas,21.88,0.9143
2,Texas,Ohio State,home,18.63,27.84,-6.71,Ohio State,6.71,0.3375
3,Texas,UTSA,home,18.63,-1.5,22.63,Texas,22.63,0.9214
4,Texas,Tennessee,away,18.63,15.49,0.64,Texas,0.64,0.516
6,Texas,Oklahoma,neutral,18.63,17.34,1.29,Texas,1.29,0.5321
7,Texas,Florida,home,18.63,10.73,10.4,Texas,10.4,0.7422
8,Texas,Ole Miss,home,18.63,18.57,2.56,Texas,2.56,0.5636
9,Texas,Mississippi State,home,18.63,4.78,16.35,Texas,16.35,0.8466
10,Texas,Missouri,away,18.63,12.97,3.16,Texas,3.16,0.5783
11,Texas,LSU,away,18.63,13.13,3.0,Texas,3.0,0.5744
12,Texas,Arkansas,home,18.63,11.29,9.84,Texas,9.84,0.7307
13,Texas,Texas A&M,away,18.63,21.08,-4.95,Texas A&M,4.95,0.3785
1,Texas A&M,Missouri State,home,21.08,-12.47,36.05,Texas A&M,36.05,0.9879
2,Texas A&M,Arizona State,home,21.08,5.67,17.91,Texas A&M,17.91,0.8685
3,Texas A&M,Kentucky,home,21.08,6.79,16.79,Texas A&M,16.79,0.853
4,Texas A&M,LSU,away,21.08,13.13,5.45,Texas A&M,5.45,0.6333
5,Texas A&M,Arkansas,home,21.08,11.29,12.29,Texas A&M,12.29,0.7788
6,Texas A&M,Missouri,away,21.08,12.97,5.61,Texas A&M,5.61,0.6371
7,Texas A&M,The Citadel (FCS baseline),home,21.08,-18.0,41.58,Texas A&M,41.58,0.9953
8,Texas A&M,Alabama,away,21.08,22.02,-3.44,Alabama,3.44,0.4149
10,Texas A&M,South Carolina,away,21.08,10.15,8.43,Texas A&M,8.43,0.7009
11,Texas A&M,Tennessee,home,21.08,15.49,8.09,Texas A&M,8.09,0.6934
12,Texas A&M,Oklahoma,away,21.08,17.34,1.24,Texas A&M,1.24,0.5309
13,Texas A&M,Texas,home,21.08,18.63,4.95,Texas A&M,4.95,0.6215
1,Texas State,Texas,away,-0.75,18.63,-21.88,Texas,21.88,0.0857
2,Texas State,UTSA,home,-0.75,-1.5,3.25,Texas State,3.25,0.5805
3,Texas State,North Texas,home,-0.75,4.44,-2.69,North Texas,2.69,0.4332
4,Texas State,Incarnate Word (FCS baseline),home,-0.75,-18.0,19.75,Texas State,19.75,0.8915
5,Texas State,San Diego State,away,-0.75,-1.36,-1.89,San Diego State,1.89,0.453
7,Texas State,Colorado State,home,-0.75,-8.04,9.79,Texas State,9.79,0.7297
8,Texas State,Utah State,home,-0.75,-7.03,8.78,Texas State,8.78,0.7084
9,Texas State,Boise State,away,-0.75,5.3,-8.55,Boise State,8.55,0.2965
10,Texas State,Oregon State,away,-0.75,-8.31,5.06,Texas State,5.06,0.6241
11,Texas State,Fresno State,home,-0.75,-5.91,7.66,Texas State,7.66,0.6839
12,Texas State,Washington State,home,-0.75,-4.21,5.96,Texas State,5.96,0.6452
1,Texas Tech,Abilene Christian (FCS baseline),home,17.8,-18.0,38.3,Texas Tech,38.3,0.9917
2,Texas Tech,Oregon State,away,17.8,-8.31,23.61,Texas Tech,23.61,0.93
3,Texas Tech,Houston,home,17.8,1.01,19.29,Texas Tech,19.29,0.886
4,Texas Tech,Sam Houston,home,17.8,-18.36,38.66,Texas Tech,38.66,0.9922
5,Texas Tech,Colorado,away,17.8,-0.21,15.51,Texas Tech,15.51,0.8338
7,Texas Tech,Arizona State,home,17.8,5.67,14.63,Texas Tech,14.63,0.8197
8,Texas Tech,Cincinnati,away,17.8,5.26,10.04,Texas Tech,10.04,0.7348
9,Texas Tech,Arizona,home,17.8,3.61,16.69,Texas Tech,16.69,0.8516
10,Texas Tech,West Virginia,home,17.8,-3.99,24.29,Texas Tech,24.29,0.9355
11,Texas Tech,Oklahoma State,away,17.8,-15.83,31.13,Texas Tech,31.13,0.9742
12,Texas Tech,Baylor,away,17.8,7.36,7.94,Texas Tech,7.94,0.6901
13,Texas Tech,TCU,home,17.8,9.87,10.43,Texas Tech,10.43,0.7428
1,Toledo,Michigan State,away,0.68,1.96,-3.78,Michigan State,3.78,0.4066
2,Toledo,Central Connecticut (FCS baseline),home,0.68,-18.0,21.18,Toledo,21.18,0.9072
3,Toledo,Temple,home,0.68,-11.33,14.51,Toledo,14.51,0.8178
4,Toledo,San Diego State,home,0.68,-1.36,4.54,Toledo,4.54,0.6117
5,Toledo,Ball State,away,0.68,-22.17,20.35,Toledo,20.35,0.8983
6,Toledo,Buffalo,home,0.68,-9.82,13.0,Toledo,13.0,0.7917
7,Toledo,Eastern Michigan,away,0.68,-13.09,11.27,Toledo,11.27,0.7594
8,Toledo,Western Michigan,home,0.68,-8.82,12.0,Toledo,12.0,0.7734
10,Toledo,Sacramento State (unrated FBS baseline),away,0.68,-12.0,10.18,Toledo,10.18,0.7377
11,Toledo,Massachusetts,home,0.68,-27.03,30.21,Toledo,30.21,0.9705
12,Toledo,Bowling Green,home,0.68,-13.81,16.99,Toledo,16.99,0.8559
13,Toledo,Ohio,away,0.68,-2.05,0.23,Toledo,0.23,0.5057
1,Troy,Sam Houston,home,-8.14,-18.36,12.72,Troy,12.72,0.7867
2,Troy,Alabama State (FCS baseline),home,-8.14,-18.0,12.36,Troy,12.36,0.7801
3,Troy,Missouri,away,-8.14,12.97,-23.61,Missouri,23.61,0.07
4,Troy,Utah State,away,-8.14,-7.03,-3.61,Utah State,3.61,0.4107
6,Troy,Southern Miss,home,-8.14,-4.5,-1.14,Southern Miss,1.14,0.4716
7,Troy,Louisiana,away,-8.14,-10.25,-0.39,Louisiana,0.39,0.4903
8,Troy,UL Monroe,home,-8.14,-17.09,11.45,Troy,11.45,0.7629
9,Troy,James Madison,away,-8.14,8.29,-18.93,James Madison,18.93,0.1184
10,Troy,Louisiana Tech,home,-8.14,-8.08,2.44,Troy,2.44,0.5606
11,Troy,South Alabama,away,-8.14,-9.24,-1.4,South Alabama,1.4,0.4651
12,Troy,Georgia Southern,home,-8.14,-9.18,3.54,Troy,3.54,0.5876
13,Troy,Arkansas State,away,-8.14,-12.06,1.42,Troy,1.42,0.5354
1,Tulane,Duke,away,4.35,4.34,-2.49,Duke,2.49,0.4382
2,Tulane,South Alabama,home,4.35,-9.24,16.09,Tulane,16.09,0.8427
3,Tulane,Kansas State,away,4.35,7.43,-5.58,Kansas State,5.58,0.3636
4,Tulane,Southern Miss,home,4.35,-4.5,11.35,Tulane,11.35,0.761
6,Tulane,Army,away,4.35,-6.67,8.52,Tulane,8.52,0.7028
7,Tulane,Memphis,home,4.35,1.94,4.91,Tulane,4.91,0.6205
8,Tulane,UTSA,home,4.35,-1.5,8.35,Tulane,8.35,0.6991
9,Tulane,Charlotte,away,4.35,-20.32,22.17,Tulane,22.17,0.9171
10,Tulane,Tulsa,home,4.35,-14.2,21.05,Tulane,21.05,0.9059
11,Tulane,Rice,away,4.35,-12.69,14.54,Tulane,14.54,0.8183
12,Tulane,North Texas,home,4.35,4.44,2.41,Tulane,2.41,0.5599
13,Tulane,South Florida,away,4.35,6.33,-4.48,South Florida,4.48,0.3897
1,Tulsa,Oklahoma State,home,-14.2,-15.83,4.13,Tulsa,4.13,0.6018
2,Tulsa,Sam Houston,away,-14.2,-18.36,1.66,Tulsa,1.66,0.5413
3,Tulsa,East Texas A&M (FCS baseline),home,-14.2,-18.0,6.3,Tulsa,6.3,0.6531
4,Tulsa,Arkansas,away,-14.2,11.29,-27.99,Arkansas,27.99,0.0401
5,Tulsa,North Texas,home,-14.2,4.44,-16.14,North Texas,16.14,0.1565
6,Tulsa,Navy,away,-14.2,0.98,-17.68,Navy,17.68,0.1346
7,Tulsa,Rice,away,-14.2,-12.69,-4.01,Rice,4.01,0.4011
8,Tulsa,Army,home,-14.2,-6.67,-5.03,Army,5.03,0.3766
10,Tulsa,Tulane,away,-14.2,4.35,-21.05,Tulane,21.05,0.0941
11,Tulsa,Florida Atlantic,home,-14.2,-12.25,0.55,Tulsa,0.55,0.5137
12,Tulsa,Charlotte,home,-14.2,-20.32,8.62,Tulsa,8.62,0.705
13,Tulsa,UTSA,away,-14.2,-1.5,-15.2,UTSA,15.2,0.1711
1,UAB,Illinois,away,-14.46,8.5,-25.46,Illinois,25.46,0.0558
2,UAB,UL Monroe,home,-14.46,-17.09,5.13,UAB,5.13,0.6258
3,UAB,Louisiana,away,-14.46,-10.25,-6.71,Louisiana,6.71,0.3375
4,UAB,Navy,home,-14.46,0.98,-12.94,Navy,12.94,0.2093
5,UAB,Samford (FCS baseline),home,-14.46,-18.0,6.04,UAB,6.04,0.6471
6,UAB,Memphis,away,-14.46,1.94,-18.9,Memphis,18.9,0.1188
7,UAB,East Carolina,home,-14.46,-1.07,-10.89,East Carolina,10.89,0.2481
9,UAB,South Florida,away,-14.46,6.33,-23.29,South Florida,23.29,0.0727
10,UAB,Charlotte,home,-14.46,-20.32,8.36,UAB,8.36,0.6993
11,UAB,Temple,away,-14.46,-11.33,-5.63,Temple,5.63,0.3625
12,UAB,UTSA,home,-14.46,-1.5,-10.46,UTSA,10.46,0.2566
13,UAB,North Texas,away,-14.46,4.44,-21.4,North Texas,21.4,0.0905
1,UCF,Bethune-Cookman (FCS baseline),home,0.08,-18.0,20.58,UCF,20.58,0.9008
2,UCF,Pittsburgh,away,0.08,5.62,-8.04,Pittsburgh,8.04,0.3077
3,UCF,Georgia State,home,0.08,-13.8,16.38,UCF,16.38,0.847
4,UCF,TCU,home,0.08,9.87,-7.29,TCU,7.29,0.3243
5,UCF,Houston,away,0.08,1.01,-3.43,Houston,3.43,0.4151
6,UCF,Oklahoma State,away,0.08,-15.83,13.41,UCF,13.41,0.799
8,UCF,BYU,home,0.08,8.21,-5.63,BYU,5.63,0.3625
9,UCF,Baylor,home,0.08,7.36,-4.78,Baylor,4.78,0.3826
10,UCF,Kansas,away,0.08,6.17,-8.59,Kansas,8.59,0.2957
11,UCF,Arizona State,home,0.08,5.67,-3.09,Arizona State,3.09,0.4234
12,UCF,Iowa State,home,0.08,3.54,-0.96,Iowa State,0.96,0.4761
13,UCF,Colorado,away,0.08,-0.21,-2.21,Colorado,2.21,0.4451
1,UCLA,California,away,0.51,-2.39,0.4,UCLA,0.4,0.51
2,UCLA,San Diego State,home,0.51,-1.36,4.37,UCLA,4.37,0.6076
3,UCLA,Purdue,home,0.51,-0.92,3.93,UCLA,3.93,0.597
4,UCLA,Maryland,away,0.51,0.42,-2.41,Maryland,2.41,0.4401
6,UCLA,Oregon,away,0.51,26.55,-28.54,Oregon,28.54,0.0372
7,UCLA,Wisconsin,home,0.51,3.95,-0.94,Wisconsin,0.94,0.4766
8,UCLA,Michigan State,home,0.51,1.96,1.05,UCLA,1.05,0.5262
9,UCLA,Nevada,home,0.51,-12.08,15.09,UCLA,15.09,0.8272
10,UCLA,Minnesota,away,0.51,0.77,-2.76,Minnesota,2.76,0.4315
11,UCLA,Illinois,home,0.51,8.5,-5.49,Illinois,5.49,0.3658
12,UCLA,Michigan,away,0.51,14.64,-16.63,Michigan,16.63,0.1493
13,UCLA,USC,home,0.51,17.94,-14.93,USC,14.93,0.1754
1,UConn,Lafayette (FCS baseline),home,-4.98,-18.0,15.52,UConn,15.52,0.834
2,UConn,Maryland,home,-4.98,0.42,-2.9,Maryland,2.9,0.4281
3,UConn,Southern Miss,away,-4.98,-4.5,-2.98,Southern Miss,2.98,0.4261
4,UConn,Miami (OH),away,-4.98,-5.8,-1.68,Miami (OH),1.68,0.4582
5,UConn,Syracuse,home,-4.98,-5.03,2.55,UConn,2.55,0.5633
6,UConn,Temple,away,-4.98,-11.33,3.85,UConn,3.85,0.5951
8,UConn,Massachusetts,home,-4.98,-27.03,24.55,UConn,24.55,0.9375
9,UConn,Air Force,away,-4.98,-7.59,0.11,UConn,0.11,0.5027
10,UConn,North Carolina,home,-4.98,-5.52,3.04,UConn,3.04,0.5753
11,UConn,James Madison,home,-4.98,8.29,-10.77,James Madison,10.77,0.2504
12,UConn,Old Dominion,home,-4.98,2.02,-4.5,Old Dominion,4.5,0.3893
13,UConn,Wyoming,away,-4.98,-7.1,-0.38,Wyoming,0.38,0.4905
1,UL Monroe,Mississippi State,away,-17.09,4.78,-24.37,Mississippi State,24.37,0.0639
2,UL Monroe,UAB,away,-17.09,-14.46,-5.13,UAB,5.13,0.3742
3,UL Monroe,SE Louisiana (FCS baseline),home,-17.09,-18.0,3.41,UL Monroe,3.41,0.5844
4,UL Monroe,Florida Atlantic,home,-17.09,-12.25,-2.34,Florida Atlantic,2.34,0.4419
5,UL Monroe,South Alabama,away,-17.09,-9.24,-10.35,South Alabama,10.35,0.2589
7,UL Monroe,Louisiana Tech,home,-17.09,-8.08,-6.51,Louisiana Tech,6.51,0.342
8,UL Monroe,Troy,away,-17.09,-8.14,-11.45,Troy,11.45,0.2371
9,UL Monroe,Southern Miss,home,-17.09,-4.5,-10.09,Southern Miss,10.09,0.2641
10,UL Monroe,Arkansas State,away,-17.09,-12.06,-7.53,Arkansas State,7.53,0.319
11,UL Monroe,Louisiana,home,-17.09,-10.25,-4.34,Louisiana,4.34,0.3931
12,UL Monroe,App State,away,-17.09,-9.22,-10.37,App State,10.37,0.2585
13,UL Monroe,Marshall,home,-17.09,-4.97,-9.62,Marshall,9.62,0.2738
1,UNLV,Hawai'i,away,0.52,-6.15,4.17,UNLV,4.17,0.6028
1,UNLV,Memphis,home,0.52,1.94,1.08,UNLV,1.08,0.5269
2,UNLV,North Texas,away,0.52,4.44,-6.42,North Texas,6.42,0.3441
4,UNLV,Akron,away,0.52,-21.45,19.47,UNLV,19.47,0.8882
5,UNLV,California,home,0.52,-2.39,5.41,UNLV,5.41,0.6324
6,UNLV,North Dakota State (unrated FBS baseline),home,0.52,-12.0,15.02,UNLV,15.02,0.8261
7,UNLV,Air Force,away,0.52,-7.59,5.61,UNLV,5.61,0.6371
9,UNLV,Northern Illinois,home,0.52,-14.94,17.96,UNLV,17.96,0.8692
10,UNLV,Wyoming,home,0.52,-7.1,10.12,UNLV,10.12,0.7365
11,UNLV,New Mexico,away,0.52,-5.44,3.46,UNLV,3.46,0.5856
12,UNLV,San José State,away,0.52,-6.54,4.56,UNLV,4.56,0.6122
13,UNLV,Nevada,home,0.52,-12.08,15.1,UNLV,15.1,0.8274
1,USC,Fresno State,home,17.94,-5.91,26.35,USC,26.35,0.9502
1,USC,San José State,home,17.94,-6.54,26.98,USC,26.98,0.9541
2,USC,Louisiana,home,17.94,-10.25,30.69,USC,30.69,0.9725
3,USC,Rutgers,away,17.94,2.19,13.25,USC,13.25,0.7962
4,USC,Oregon,home,17.94,26.55,-6.11,Oregon,6.11,0.3513
5,USC,Washington,home,17.94,10.57,9.87,USC,9.87,0.7313
6,USC,Penn State,away,17.94,17.74,-2.3,Penn State,2.3,0.4428
8,USC,Wisconsin,away,17.94,3.95,11.49,USC,11.49,0.7637
9,USC,Ohio State,home,17.94,27.84,-7.4,Ohio State,7.4,0.3219
11,USC,Indiana,away,17.94,23.9,-8.46,Indiana,8.46,0.2985
12,USC,Maryland,home,17.94,0.42,20.02,USC,20.02,0.8946
13,USC,UCLA,away,17.94,0.51,14.93,USC,14.93,0.8246
1,UTEP,Oklahoma,away,-12.66,17.34,-32.5,Oklahoma,32.5,0.0211
2,UTEP,Texas Southern (FCS baseline),home,-12.66,-18.0,7.84,UTEP,7.84,0.6879
3,UTEP,Michigan,away,-12.66,14.64,-29.8,Michigan,29.8,0.0313
4,UTEP,Oregon State,home,-12.66,-8.31,-1.85,Oregon State,1.85,0.454
5,UTEP,New Mexico,away,-12.66,-5.44,-9.72,New Mexico,9.72,0.2718
6,UTEP,Nevada,home,-12.66,-12.08,1.92,UTEP,1.92,0.5478
7,UTEP,San José State,home,-12.66,-6.54,-3.62,San José State,3.62,0.4105
9,UTEP,North Dakota State (unrated FBS baseline),away,-12.66,-12.0,-3.16,North Dakota State (unrated FBS baseline),3.16,0.4217
10,UTEP,Hawai'i,home,-12.66,-6.15,-4.01,Hawai'i,4.01,0.4011
11,UTEP,Wyoming,home,-12.66,-7.1,-3.06,Wyoming,3.06,0.4242
12,UTEP,Air Force,away,-12.66,-7.59,-7.57,Air Force,7.57,0.3181
13,UTEP,Northern Illinois,away,-12.66,-14.94,-0.22,Northern Illinois,0.22,0.4945
1,UTSA,UT Rio Grande Valley (FCS baseline),home,-1.5,-18.0,19.0,UTSA,19.0,0.8825
2,UTSA,Texas State,away,-1.5,-0.75,-3.25,Texas State,3.25,0.4195
3,UTSA,Texas,away,-1.5,18.63,-22.63,Texas,22.63,0.0786
4,UTSA,Colorado State,home,-1.5,-8.04,9.04,UTSA,9.04,0.714
5,UTSA,Rice,away,-1.5,-12.69,8.69,UTSA,8.69,0.7065
6,UTSA,South Florida,home,-1.5,6.33,-5.33,South Florida,5.33,0.3695
7,UTSA,Navy,home,-1.5,0.98,0.02,UTSA,0.02,0.5005
8,UTSA,Tulane,away,-1.5,4.35,-8.35,Tulane,8.35,0.3009
10,UTSA,Florida Atlantic,away,-1.5,-12.25,8.25,UTSA,8.25,0.6969
11,UTSA,North Texas,home,-1.5,4.44,-3.44,North Texas,3.44,0.4149
12,UTSA,UAB,away,-1.5,-14.46,10.46,UTSA,10.46,0.7434
13,UTSA,Tulsa,home,-1.5,-14.2,15.2,UTSA,15.2,0.8289
1,Utah,Idaho (FCS baseline),home,15.03,-18.0,35.53,Utah,35.53,0.9868
2,Utah,Arkansas,home,15.03,11.29,6.24,Utah,6.24,0.6517
3,Utah,Utah State,home,15.03,-7.03,24.56,Utah,24.56,0.9376
4,Utah,Iowa State,away,15.03,3.54,8.99,Utah,8.99,0.7129
6,Utah,Kansas,home,15.03,6.17,11.36,Utah,11.36,0.7611
7,Utah,Colorado,away,15.03,-0.21,12.74,Utah,12.74,0.7871
8,Utah,Houston,home,15.03,1.01,16.52,Utah,16.52,0.8491
9,Utah,Cincinnati,away,15.03,5.26,7.27,Utah,7.27,0.6752
10,Utah,BYU,home,15.03,8.21,9.32,Utah,9.32,0.7199
11,Utah,Arizona,away,15.03,3.61,8.92,Utah,8.92,0.7114
12,Utah,TCU,away,15.03,9.87,2.66,Utah,2.66,0.566
13,Utah,West Virginia,home,15.03,-3.99,21.52,Utah,21.52,0.9107
1,Utah State,Idaho State (FCS baseline),home,-7.03,-18.0,13.47,Utah State,13.47,0.8001
2,Utah State,Washington,away,-7.03,10.57,-20.1,Washington,20.1,0.1045
3,Utah State,Utah,away,-7.03,15.03,-24.56,Utah,24.56,0.0624
4,Utah State,Troy,home,-7.03,-8.14,3.61,Utah State,3.61,0.5893
5,Utah State,Boise State,away,-7.03,5.3,-14.83,Boise State,14.83,0.177
6,Utah State,Washington State,home,-7.03,-4.21,-0.32,Washington State,0.32,0.492
8,Utah State,Texas State,away,-7.03,-0.75,-8.78,Texas State,8.78,0.2916
9,Utah State,Colorado State,home,-7.03,-8.04,3.51,Utah State,3.51,0.5868
10,Utah State,Fresno State,home,-7.03,-5.91,1.38,Utah State,1.38,0.5344
11,Utah State,San Diego State,away,-7.03,-1.36,-8.17,San Diego State,8.17,0.3048
12,Utah State,Oregon State,away,-7.03,-8.31,-1.22,Oregon State,1.22,0.4696
1,Vanderbilt,Austin Peay (FCS baseline),home,13.24,-18.0,33.74,Vanderbilt,33.74,0.9825
2,Vanderbilt,Delaware,home,13.24,-9.72,25.46,Vanderbilt,25.46,0.9442
3,Vanderbilt,NC State,home,13.24,2.48,13.26,Vanderbilt,13.26,0.7964
4,Vanderbilt,Auburn,away,13.24,12.61,-1.87,Auburn,1.87,0.4535
5,Vanderbilt,Georgia,away,13.24,23.69,-12.95,Georgia,12.95,0.2091
6,Vanderbilt,Ole Miss,home,13.24,18.57,-2.83,Ole Miss,2.83,0.4298
7,Vanderbilt,Arkansas,home,13.24,11.29,4.45,Vanderbilt,4.45,0.6095
8,Vanderbilt,Kentucky,away,13.24,6.79,3.95,Vanderbilt,3.95,0.5975
10,Vanderbilt,Mississippi State,away,13.24,4.78,5.96,Vanderbilt,5.96,0.6452
11,Vanderbilt,Alabama,home,13.24,22.02,-6.28,Alabama,6.28,0.3473
12,Vanderbilt,Florida,away,13.24,10.73,0.01,Vanderbilt,0.01,0.5002
13,Vanderbilt,Tennessee,home,13.24,15.49,0.25,Vanderbilt,0.25,0.5062
1,Virginia,NC State,home,3.43,2.48,3.45,Virginia,3.45,0.5854
2,Virginia,Norfolk State (FCS baseline),home,3.43,-18.0,23.93,Virginia,23.93,0.9326
3,Virginia,West Virginia,neutral,3.43,-3.99,7.42,Virginia,7.42,0.6786
4,Virginia,Delaware,home,3.43,-9.72,15.65,Virginia,15.65,0.836
5,Virginia,Florida State,away,3.43,7.9,-6.97,Florida State,6.97,0.3316
6,Virginia,Syracuse,home,3.43,-5.03,10.96,Virginia,10.96,0.7533
7,Virginia,SMU,away,3.43,10.46,-9.53,SMU,9.53,0.2757
8,Virginia,Duke,home,3.43,4.34,1.59,Virginia,1.59,0.5396
9,Virginia,Wake Forest,away,3.43,-2.7,3.63,Virginia,3.63,0.5897
11,Virginia,California,home,3.43,-2.39,8.32,Virginia,8.32,0.6985
12,Virginia,North Carolina,home,3.43,-5.52,11.45,Virginia,11.45,0.7629
13,Virginia,Virginia Tech,away,3.43,-1.97,2.9,Virginia,2.9,0.5719
1,Virginia Tech,VMI (FCS baseline),home,-1.97,-18.0,18.53,Virginia Tech,18.53,0.8766
2,Virginia Tech,Old Dominion,home,-1.97,2.02,-1.49,Old Dominion,1.49,0.4629
3,Virginia Tech,Maryland,away,-1.97,0.42,-4.89,Maryland,4.89,0.3799
4,Virginia Tech,Boston College,away,-1.97,-5.86,1.39,Virginia Tech,1.39,0.5346
5,Virginia Tech,Pittsburgh,home,-1.97,5.62,-5.09,Pittsburgh,5.09,0.3752
6,Virginia Tech,California,away,-1.97,-2.39,-2.08,California,2.08,0.4483
7,Virginia Tech,Georgia Tech,home,-1.97,7.05,-6.52,Georgia Tech,6.52,0.3418
8,Virginia Tech,Clemson,away,-1.97,12.8,-17.27,Clemson,17.27,0.1402
10,Virginia Tech,SMU,away,-1.97,10.46,-14.93,SMU,14.93,0.1754
11,Virginia Tech,Stanford,home,-1.97,-8.78,9.31,Virginia Tech,9.31,0.7197
12,Virginia Tech,Miami,away,-1.97,21.21,-25.68,Miami,25.68,0.0542
13,Virginia Tech,Virginia,home,-1.97,3.43,-2.9,Virginia,2.9,0.4281
1,Wake Forest,Akron,home,-2.7,-21.45,21.25,Wake Forest,21.25,0.9079
2,Wake Forest,Purdue,away,-2.7,-0.92,-4.28,Purdue,4.28,0.3945
3,Wake Forest,Miami,home,-2.7,21.21,-21.41,Miami,21.41,0.0904
4,Wake Forest,Louisville,away,-2.7,11.0,-16.2,Louisville,16.2,0.1556
5,Wake Forest,Stanford,home,-2.7,-8.78,8.58,Wake Forest,8.58,0.7041
6,Wake Forest,NC State,away,-2.7,2.48,-7.68,NC State,7.68,0.3156
7,Wake Forest,California,away,-2.7,-2.39,-2.81,California,2.81,0.4303
9,Wake Forest,Virginia,home,-2.7,3.43,-3.63,Virginia,3.63,0.4103
10,Wake Forest,Merrimack (FCS baseline),home,-2.7,-18.0,17.8,Wake Forest,17.8,0.867
11,Wake Forest,SMU,away,-2.7,10.46,-15.66,SMU,15.66,0.1639
12,Wake Forest,Georgia Tech,away,-2.7,7.05,-12.25,Georgia Tech,12.25,0.2219
13,Wake Forest,Duke,home,-2.7,4.34,-4.54,Duke,4.54,0.3883
1,Washington,Washington State,home,10.57,-4.21,17.28,Washington,17.28,0.8599
2,Washington,Utah State,home,10.57,-7.03,20.1,Washington,20.1,0.8955
3,Washington,Eastern Washington (FCS baseline),home,10.57,-18.0,31.07,Washington,31.07,0.9739
4,Washington,Minnesota,home,10.57,0.77,12.3,Washington,12.3,0.779
5,Washington,USC,away,10.57,17.94,-9.87,USC,9.87,0.2687
6,Washington,Iowa,home,10.57,14.2,-1.13,Iowa,1.13,0.4718
7,Washington,Purdue,away,10.57,-0.92,8.99,Washington,8.99,0.7129
9,Washington,Nebraska,away,10.57,10.01,-1.94,Nebraska,1.94,0.4517
10,Washington,Penn State,home,10.57,17.74,-4.67,Penn State,4.67,0.3852
11,Washington,Michigan State,away,10.57,1.96,6.11,Washington,6.11,0.6487
12,Washington,Indiana,home,10.57,23.9,-10.83,Indiana,10.83,0.2492
13,Washington,Oregon,away,10.57,26.55,-18.48,Oregon,18.48,0.124
1,Washington State,Washington,away,-4.21,10.57,-17.28,Washington,17.28,0.1401
2,Washington State,Kansas State,away,-4.21,7.43,-14.14,Kansas State,14.14,0.1884
3,Washington State,Duquesne (FCS baseline),home,-4.21,-18.0,16.29,Washington State,16.29,0.8457
4,Washington State,Arizona,home,-4.21,3.61,-5.32,Arizona,5.32,0.3698
5,Washington State,Fresno State,home,-4.21,-5.91,4.2,Washington State,4.2,0.6035
6,Washington State,Utah State,away,-4.21,-7.03,0.32,Washington State,0.32,0.508
7,Washington State,Oregon State,away,-4.21,-8.31,1.6,Washington State,1.6,0.5398
8,Washington State,Boise State,home,-4.21,5.3,-7.01,Boise State,7.01,0.3306
9,Washington State,San Diego State,away,-4.21,-1.36,-5.35,San Diego State,5.35,0.369
11,Washington State,Colorado State,home,-4.21,-8.04,6.33,Washington State,6.33,0.6538
12,Washington State,Texas State,away,-4.21,-0.75,-5.96,Texas State,5.96,0.3548
1,West Virginia,Coastal Carolina,home,-3.99,-12.42,10.93,West Virginia,10.93,0.7527
2,West Virginia,UT Martin (FCS baseline),home,-3.99,-18.0,16.51,West Virginia,16.51,0.8489
3,West Virginia,Virginia,neutral,-3.99,3.43,-7.42,Virginia,7.42,0.3214
4,West Virginia,Oklahoma State,home,-3.99,-15.83,14.34,West Virginia,14.34,0.8149
5,West Virginia,Iowa State,away,-3.99,3.54,-10.03,Iowa State,10.03,0.2654
6,West Virginia,Arizona,home,-3.99,3.61,-5.1,Arizona,5.1,0.375
7,West Virginia,Cincinnati,home,-3.99,5.26,-6.75,Cincinnati,6.75,0.3366
8,West Virginia,TCU,away,-3.99,9.87,-16.36,TCU,16.36,0.1533
10,West Virginia,Texas Tech,away,-3.99,17.8,-24.29,Texas Tech,24.29,0.0645
11,West Virginia,Kansas,home,-3.99,6.17,-7.66,Kansas,7.66,0.3161
12,West Virginia,Houston,home,-3.99,1.01,-2.5,Houston,2.5,0.4379
13,West Virginia,Utah,away,-3.99,15.03,-21.52,Utah,21.52,0.0893
1,Western Kentucky,Nevada,away,-7.07,-12.08,2.51,Western Kentucky,2.51,0.5623
2,Western Kentucky,Georgia,away,-7.07,23.69,-33.26,Georgia,33.26,0.0188
3,Western Kentucky,Indiana,away,-7.07,23.9,-33.47,Indiana,33.47,0.0182
4,Western Kentucky,Mercyhurst (FCS baseline),home,-7.07,-18.0,13.43,Western Kentucky,13.43,0.7994
5,Western Kentucky,New Mexico State,away,-7.07,-17.35,7.78,Western Kentucky,7.78,0.6866
6,Western Kentucky,Missouri State,home,-7.07,-12.47,7.9,Western Kentucky,7.9,0.6893
7,Western Kentucky,Sam Houston,away,-7.07,-18.36,8.79,Western Kentucky,8.79,0.7086
9,Western Kentucky,Delaware,home,-7.07,-9.72,5.15,Western Kentucky,5.15,0.6262
10,Western Kentucky,Middle Tennessee,away,-7.07,-13.13,3.56,Western Kentucky,3.56,0.588
11,Western Kentucky,Jacksonville State,home,-7.07,-8.54,3.97,Western Kentucky,3.97,0.598
12,Western Kentucky,Liberty,away,-7.07,-3.45,-6.12,Liberty,6.12,0.351
