team,conference,record,fbs_record,rating,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
UAB,American Athletic,0-1,0-1,-3.89,1.0,41.25,35.5,77.36,1411.0,0.0,-19.0,1563.0,6.833,0.139131,0.529351,0.0,0.0,606.18,,
Florida International,Conference USA,0-1,0-1,-3.91,1.0,47.4,33.6,83.25,1385.0,0.0,-10.0,1682.0,4.5,0.110655,-0.062746,0.0,0.0,607.56,,
Arkansas State,Sun Belt,0-1,0-1,-4.06,1.0,46.7,33.68,76.01,1353.0,0.0,-18.0,1541.0,-7.5,0.125157,0.490713,0.0,0.0,606.22,,
Colorado State,Pac-12,1-0,1-0,-4.11,1.0,63.46,29.9,70.62,1336.0,1.0,22.0,1363.0,19.333,0.301242,-0.025108,0.0,0.0,640.31,,
Oklahoma State,Big 12,0-1,0-1,-4.25,1.0,31.33,32.83,61.8,1212.0,0.0,-14.0,1240.0,-27.333,-0.070656,0.186432,0.0,0.0,672.69,,
Western Michigan,Mid-American,0-1,0-1,-4.28,1.0,28.0,37.15,85.74,1534.0,0.0,-1.0,1690.0,26.5,-0.036869,0.235518,0.0,0.0,572.2,,
Miami (OH),Mid-American,0-1,0-1,-4.28,1.0,30.65,33.43,76.66,1259.0,0.0,-45.0,1576.0,-28.667,0.114011,0.426656,0.0,0.0,621.37,,
Louisiana Tech,Sun Belt,1-0,0-0,-4.33,1.0,68.07,29.49,0.0,1454.0,0.0,0.0,0.0,29.5,0.59862,-0.238618,0.0,0.0,543.02,,
Bowling Green,Mid-American,0-1,0-0,-4.43,1.0,38.07,29.54,0.0,1340.0,0.0,0.0,0.0,-8.667,0.025262,0.147051,0.0,0.0,568.33,,
Buffalo,Mid-American,1-0,0-0,-4.83,1.0,44.72,30.41,0.0,1365.0,0.0,0.0,0.0,-14.5,0.152314,-0.049521,0.0,0.0,549.31,,
Middle Tennessee,Conference USA,1-0,0-0,-4.83,1.0,64.38,24.38,0.0,1276.0,0.0,0.0,0.0,1.5,0.401692,0.135652,0.0,0.0,571.5,,
Rice,American Athletic,1-0,0-0,-4.88,1.0,65.48,20.28,0.0,1196.0,0.0,0.0,0.0,5.333,0.233072,-0.123715,0.0,0.0,589.89,,
Utah State,Pac-12,0-1,0-0,-4.91,1.0,46.01,32.41,0.0,1376.0,0.0,0.0,0.0,-27.167,0.095341,0.033944,0.0,0.0,543.98,,
Georgia State,Sun Belt,1-0,0-0,-5.03,1.0,78.19,19.74,0.0,1241.0,0.0,0.0,0.0,20.667,0.506822,-0.065186,0.0,0.0,573.83,,
Sacramento State,Mid-American,1-1,0-1,-5.04,1.0,46.62,35.56,22.21,1471.0,0.0,-11.0,1326.0,6.0,0.143357,-0.037716,0.0,0.0,561.42,,
Old Dominion,Sun Belt,1-0,0-0,-5.22,1.0,53.15,28.99,0.0,1336.0,0.0,0.0,0.0,-20.333,0.218386,-0.209821,0.0,0.0,544.25,,
North Dakota State,Mountain West,2-0,1-0,-5.33,1.0,62.5,36.55,30.72,1564.0,1.0,26.0,1494.0,7.917,0.238902,-0.313104,0.0,0.0,515.59,,
Charlotte,American Athletic,0-1,0-0,-5.4,1.0,50.86,22.17,0.0,1182.0,0.0,0.0,0.0,-22.5,0.285997,0.375389,0.0,0.0,576.77,,
Oregon State,Pac-12,0-1,0-1,-5.42,1.0,43.79,27.69,74.26,1260.0,0.0,-13.0,1508.0,7.833,0.182879,0.312247,0.0,0.0,635.79,,
Nevada,Mountain West,1-0,1-0,-5.57,1.0,72.49,27.53,74.37,1462.0,1.0,35.0,1438.0,35.667,0.556279,0.065623,0.0,0.0,549.99,,
Hawai'i,Mountain West,0-2,0-2,-5.79,1.0,29.53,35.22,73.97,1437.5,0.0,-12.5,1478.0,-8.75,-0.00678,0.246843,0.0,0.0,556.82,,
Kennesaw State,Conference USA,1-0,0-0,-6.23,1.0,69.1,21.92,0.0,1373.0,0.0,0.0,0.0,24.5,0.288924,-0.248102,0.0,0.0,502.86,,
San José State,Mountain West,1-1,1-1,-6.38,1.0,43.23,30.81,78.02,1409.5,0.5,-5.0,1553.5,14.417,0.165445,0.192613,0.0,0.0,569.25,,
Tulsa,American Athletic,1-0,1-0,-6.47,1.0,51.05,23.84,64.76,1268.0,1.0,14.0,1240.0,27.333,0.186432,-0.070656,0.0,0.0,622.84,,
Delaware,Conference USA,1-0,0-0,-6.6,1.0,61.51,25.21,0.0,1404.0,0.0,0.0,0.0,3.5,0.395767,-0.122854,0.0,0.0,483.48,,
Florida Atlantic,American Athletic,0-1,0-1,-6.64,1.0,33.4,25.3,75.35,1189.0,0.0,-45.0,1562.0,-18.833,0.107901,0.621458,0.0,0.0,593.36,,
Eastern Michigan,Mid-American,1-1,1-1,-6.69,1.0,34.44,30.48,73.85,1356.5,0.5,2.5,1453.0,-2.75,0.013787,0.035845,0.0,0.0,580.64,,
Wyoming,Mountain West,0-1,0-1,-7.31,1.0,38.17,26.56,63.9,1300.0,0.0,-22.0,1273.0,-19.333,-0.025108,0.301242,0.0,0.0,528.29,,
