team,conference,record,fbs_record,rating,resume_score,efficiency_score,power_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Florida Atlantic,American Athletic,4-8,3-8,36.09,33.45,42.1,32.17,1230.58,0.2727,-11.273,1437.818,-1.118,0.159565,0.224105,0.132899,0.221015,605.22,,
South Alabama,Sun Belt,4-8,3-8,36.02,29.88,38.91,39.82,1433.75,0.2727,-5.818,1363.0,-4.153,0.160181,0.240423,0.130183,0.237437,544.87,,
Syracuse,ACC,3-9,2-9,35.92,33.58,28.33,47.52,1384.83,0.1818,-19.909,1640.0,-6.285,0.052319,0.266305,0.052449,0.222046,727.83,,
Eastern Michigan,Mid-American,4-8,4-7,35.9,36.17,41.13,29.47,1223.25,0.3636,-5.727,1370.455,-0.389,0.199334,0.250184,0.180916,0.261451,572.9,,
App State,Sun Belt,5-8,4-8,34.74,30.82,37.69,35.86,1330.62,0.3333,-6.667,1355.167,-5.5,0.097354,0.180265,0.082409,0.213,611.31,,
Coastal Carolina,Sun Belt,6-7,5-7,34.55,37.69,32.68,33.07,1236.77,0.4167,-12.917,1444.083,-3.192,0.062278,0.202609,0.0813,0.221727,610.88,,
Buffalo,Mid-American,5-7,4-7,34.44,29.66,40.38,33.09,1356.67,0.3636,-3.0,1277.091,-5.229,0.080909,0.106759,0.030662,0.171865,513.33,,
San José State,Mountain West,3-9,2-9,33.96,21.4,44.41,36.41,1361.83,0.1818,-12.364,1388.818,-10.507,0.171799,0.203586,0.155046,0.206383,522.91,,
UAB,American Athletic,4-8,3-8,33.86,33.52,35.54,32.29,1245.83,0.2727,-13.818,1465.818,-1.785,0.177825,0.323186,0.125829,0.253001,540.93,,
Nevada,Mountain West,3-9,2-9,33.29,33.58,34.59,31.44,1239.08,0.1818,-11.091,1497.636,0.187,0.03366,0.187141,0.066279,0.192123,488.69,,
Tulsa,American Athletic,4-8,3-8,32.88,32.98,41.98,22.17,1067.25,0.2727,-8.818,1390.273,0.542,0.112305,0.151436,0.081499,0.186889,594.78,,
Bowling Green,Mid-American,4-8,3-8,31.79,28.09,33.77,33.8,1354.17,0.2727,-5.818,1296.091,-1.688,0.026926,0.146196,0.032683,0.18553,527.31,,
New Mexico State,Conference USA,4-8,3-8,31.77,31.32,38.64,24.28,1201.92,0.2727,-8.0,1341.727,1.257,0.031141,0.099323,0.034589,0.149316,402.9,,
Middle Tennessee,Conference USA,3-9,3-8,31.52,28.79,39.51,25.38,1174.17,0.2727,-7.455,1348.182,-3.806,0.142399,0.209874,0.139044,0.23766,520.55,,
