team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
West Virginia,Big 12,3-0,2-0,1.69,2.44,0.57,-1.87,Medium,1.0,64.16,57.45,59.61,1379.33,1.0,9.0,1465.0,3.722,0.280573,0.029249,0.0,0.0,707.6,,
UCF,Big 12,2-1,1-1,1.6,2.39,0.41,-1.98,Medium,1.0,60.08,42.63,55.48,1471.33,0.5,4.5,1484.0,7.389,0.172748,-0.040672,0.0,0.0,672.14,,
North Carolina,ACC,2-1,1-1,1.49,1.58,1.37,-0.21,Medium,1.0,62.07,68.62,53.58,1396.33,0.5,-1.5,1585.5,1.222,0.118025,-0.018831,0.0,0.0,767.89,,
Fresno State,Pac-12,2-1,2-1,1.34,3.18,-1.42,-4.61,Medium,1.0,44.78,32.91,70.85,1550.33,0.6667,7.667,1543.667,7.611,0.066631,-0.041842,0.0,0.0,609.75,,
NC State,ACC,1-2,0-2,0.69,-2.25,5.08,7.33,Medium,1.0,55.52,54.26,42.39,1508.33,0.0,-15.0,1668.5,5.556,0.202404,0.130688,0.0,0.0,757.14,,
Minnesota,Big Ten,2-1,1-1,0.53,-0.98,2.8,3.78,Medium,1.0,62.13,67.54,44.21,1482.0,0.5,4.5,1256.5,-1.444,0.154169,0.031748,0.0,0.0,728.79,,
Wake Forest,ACC,2-1,2-1,0.53,0.21,1.01,0.8,Medium,1.0,56.16,57.49,57.49,1512.67,0.6667,3.667,1381.333,0.389,0.300886,0.178872,0.0,0.0,680.87,,
UTSA,American Athletic,2-1,1-1,0.53,1.58,-1.04,-2.62,Medium,1.0,64.05,46.09,49.09,1517.67,0.5,-9.5,1678.5,4.333,0.210126,0.005196,0.0,0.0,655.82,,
Memphis,American Athletic,3-1,2-1,0.07,0.59,-0.71,-1.3,Medium,1.0,55.81,56.39,56.12,1540.5,0.6667,2.0,1509.333,-0.042,0.262066,0.179525,0.0,0.0,670.31,,
Cincinnati,Big 12,3-0,2-0,-0.18,-0.41,0.17,0.58,Medium,1.0,73.92,40.99,55.93,1514.67,1.0,11.5,1332.5,5.667,0.360608,0.054911,0.0,0.0,634.28,,
Western Michigan,Mid-American,2-1,1-1,-0.24,2.73,-4.7,-7.44,Medium,1.0,53.01,24.01,50.56,1529.0,0.5,3.0,1418.5,10.278,0.1625,0.014503,0.0,0.0,572.2,,
North Texas,American Athletic,1-2,1-2,-0.49,2.04,-4.29,-6.33,Medium,1.0,44.75,21.03,66.24,1645.0,0.3333,-4.0,1697.0,11.222,0.209086,0.262675,0.0,0.0,602.08,,
Tulane,American Athletic,1-2,1-2,-1.15,-0.45,-2.21,-1.76,Medium,1.0,32.7,57.04,54.76,1525.67,0.3333,-7.0,1551.667,-0.333,0.089093,0.15191,0.0,0.0,665.11,,
Texas State,Pac-12,1-2,1-2,-2.27,-1.89,-2.83,-0.95,Medium,1.0,48.16,67.96,53.01,1456.67,0.3333,-14.333,1668.333,-6.111,0.216715,0.297884,0.0,0.0,624.81,,
Oklahoma State,Big 12,2-1,1-1,-2.32,-3.71,-0.25,3.46,Medium,1.0,59.49,61.16,50.25,1244.33,0.5,-3.0,1556.5,2.5,0.092239,-0.020645,0.0,0.0,672.69,,
Georgia Tech,ACC,1-2,0-2,-2.39,-4.52,0.81,5.33,Medium,1.0,48.09,81.06,40.69,1523.67,0.0,-11.0,1543.5,-7.167,0.106994,0.111569,0.0,0.0,751.65,,
Toledo,Mid-American,2-1,1-1,-2.53,-1.87,-3.52,-1.65,Medium,1.0,63.61,34.2,40.02,1568.33,0.5,-4.5,1381.0,4.278,0.293238,0.022287,0.0,0.0,556.26,,
Nevada,Mountain West,1-2,1-1,-2.91,0.79,-8.46,-9.25,Medium,1.0,44.6,34.49,59.79,1451.33,0.5,14.0,1357.5,5.611,0.078259,0.103688,0.0,0.0,549.99,,
