event_id,week_label,commence_time,away_team,home_team,snapshot_count,first_captured_at_utc,latest_captured_at_utc,opening_market_home_spread,latest_market_home_spread,home_line_movement,edge_side,latest_model_edge,selected_best_spread,selected_best_price,selected_best_book,break_even_probability,line_shopping_value,opening_to_latest_value,closing_side_spread,best_line_clv,actual_home_margin,ats_result,betting_status
fc7c77e060e8ba29a61de994be1497c0,Week 4,2026-09-26T19:00:00Z,Hawai'i,Wyoming,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,3.19,3.11,-0.08,Wyoming,1.97,3.5,-114,betrivers,0.5327,0.39,0.08,,,,,Standard
f0985218c2ed146bb0295c4e9c4a0dd7,Week 4,2026-09-26T19:30:00Z,Boise State,Western Michigan,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,7.5,7.11,-0.39,Western Michigan,4.43,7.5,-113,betrivers,0.5305,0.39,0.39,,,,,Standard
39a3d3075172036a2b3f7d47913779b8,Week 4,2026-09-26T19:30:00Z,Iowa,Michigan,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-4.38,-5.5,-1.12,Iowa,3.02,5.5,-106,lowvig,0.5146,0.0,-1.12,,,,,Standard
3848eaee7484034f3604aed922649c4e,Week 4,2026-09-26T19:30:00Z,Oklahoma,Georgia,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-13.94,-13.78,0.16,Oklahoma,2.48,14.0,-108,lowvig,0.5192,0.22,0.16,,,,,Standard
886538e98f0884df3d655d9d2d2ca567,Week 4,2026-09-26T19:30:00Z,Ole Miss,Florida,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-2.86,-3.19,-0.33,Ole Miss,2.15,3.5,-110,mybookieag,0.5238,0.31,-0.33,,,,,Standard
32171e03f5df71b5c9057bcba40030a7,Week 4,2026-09-26T19:30:00Z,TCU,UCF,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,3.29,3.11,-0.18,UCF,3.4,3.5,-115,bovada,0.5349,0.39,0.18,,,,,Standard
edf8d3e3699aa5cb34c50ac7de992d37,Week 4,2026-09-26T20:15:00Z,Vanderbilt,Auburn,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-9.25,-9.44,-0.19,Vanderbilt,3.91,9.5,-110,draftkings,0.5238,0.06,-0.19,,,,,Standard
10078e86207d952986707c1ad7dc9331,Week 4,2026-09-26T21:00:00Z,South Florida,Bowling Green,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,17.69,17.44,-0.25,Bowling Green,0.62,17.5,-106,lowvig,0.5146,0.06,0.25,,,,,Standard
9c5cf55e5371dd6178da97dcaef2bff5,Week 4,2026-09-26T21:00:00Z,Wisconsin,Penn State,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-10.0,-9.72,0.28,Penn State,3.93,-9.5,-108,fanduel,0.5192,0.22,-0.28,,,,,Standard
ce4578738432ad6327f4e3a4909ddcb5,Week 4,2026-09-26T22:00:00Z,Delaware,Virginia,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-20.38,-19.44,0.94,Delaware,6.91,20.0,-110,betmgm,0.5238,0.56,0.94,,,,,Standard
008dd61e19c2456760593773da6a88ef,Week 4,2026-09-26T22:00:00Z,James Madison,Old Dominion,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,5.12,5.83,0.71,James Madison,6.07,-5.5,-111,lowvig,0.5261,0.33,0.71,,,,,Standard
1f0c9cd1941cbfe5c5ca28fa42e387d8,Week 4,2026-09-26T22:30:00Z,Central Michigan,Miami,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-40.79,-41.19,-0.4,Central Michigan,8.94,41.5,-105,fanduel,0.5122,0.31,-0.4,,,,,Standard
c80f5f34b99b9346f4e40cf5304d941d,Week 4,2026-09-26T22:30:00Z,Louisiana,Charlotte,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,11.25,10.22,-1.03,Charlotte,4.11,10.5,-110,fanduel,0.5238,0.28,1.03,,,,,Standard
fe0fb2e29062d93898ebdd583329194d,Week 4,2026-09-26T23:00:00Z,Middle Tennessee,Jacksonville State,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-8.75,-7.22,1.53,Middle Tennessee,3.98,7.5,-116,lowvig,0.537,0.28,1.53,,,,,Standard
c843a3f97a410eedafcfbad440774ad2,Week 4,2026-09-26T23:00:00Z,South Carolina,Alabama,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-12.93,-12.0,0.93,Alabama,0.58,-11.5,-106,lowvig,0.5146,0.5,-0.93,,,,,Standard
83516ad7ba3e8ef9f90498cfcaf10eb5,Week 4,2026-09-26T23:30:00Z,Oregon,USC,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,2.5,2.94,0.44,USC,6.52,3.0,-104,lowvig,0.5098,0.06,-0.44,,,,,Standard
f154381c89953d3b0bd409a6bc4e28a6,Week 4,2026-09-26T23:45:00Z,Missouri,Mississippi State,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-5.88,-6.22,-0.34,Mississippi State,0.12,-5.5,-115,fanduel,0.5349,0.72,0.34,,,,,Standard
891673ae39457f51a701ca482c2f7280,Week 4,2026-09-27T00:00:00Z,Tulsa,Arkansas,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-7.31,-7.11,0.2,Tulsa,4.19,7.5,-116,lowvig,0.537,0.39,0.2,,,,,Standard
271438149d3f0afb2ff01736101b5e20,Week 4,2026-09-27T02:00:00Z,Rice,Fresno State,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-13.81,-13.5,0.31,Fresno State,1.59,-13.0,-110,betus,0.5238,0.5,-0.31,,,,,Standard
e972bb2c0291b991de32cc0188c9d338,Week 4,2026-09-27T02:30:00Z,Air Force,Nevada,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,4.44,5.28,0.84,Nevada,10.45,5.5,-110,fanduel,0.5238,0.22,-0.84,,,,,Standard
e497e36c59bded468da11878568e7c80,Week 4,2026-09-27T03:00:00Z,Minnesota,Washington,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-8.81,-9.89,-1.08,Minnesota,0.61,10.0,-110,mybookieag,0.5238,0.11,-1.08,,,,,Standard
