event_id,captured_at_utc,commence_time,week,display_week,week_label,game_type,home_team,away_team,book_count,model_home_spread,market_home_spread,edge_side,absolute_edge_points,betting_status,best_home_spread,best_home_price,best_home_book,best_away_spread,best_away_price,best_away_book,selected_best_spread,selected_best_price,selected_best_book,break_even_probability,line_shopping_value
891673ae39457f51a701ca482c2f7280,2026-09-21T00:31:51+00:00,2026-09-27T00:00:00Z,4,4,Week 4,FBS vs FBS,Arkansas,Tulsa,8,-3.05,-7.31,Tulsa,4.26,Standard,-7.0,-110,betus,7.5,-110,mybookieag,7.5,-110,mybookieag,0.5238,0.19
891673ae39457f51a701ca482c2f7280,2026-09-21T21:56:06+00:00,2026-09-27T00:00:00Z,4,4,Week 4,FBS vs FBS,Arkansas,Tulsa,9,-2.92,-7.11,Tulsa,4.19,Standard,-6.5,-115,betrivers,7.5,-116,lowvig,7.5,-116,lowvig,0.537,0.39
90cacdc25f25e1f13b13e031a7fee9b7,2026-09-21T00:31:51+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Baylor,Colorado,8,-11.29,-9.56,Baylor,1.73,Standard,-9.0,-112,betrivers,10.0,-110,mybookieag,-9.0,-112,betrivers,0.5283,0.56
90cacdc25f25e1f13b13e031a7fee9b7,2026-09-21T21:56:06+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Baylor,Colorado,9,-11.38,-9.94,Baylor,1.44,Standard,-9.5,-118,fanduel,10.0,-106,lowvig,-9.5,-118,fanduel,0.5413,0.44
9c5cf55e5371dd6178da97dcaef2bff5,2026-09-21T00:31:51+00:00,2026-09-26T21:00:00Z,4,4,Week 4,FBS vs FBS,Penn State,Wisconsin,8,-13.73,-10.0,Penn State,3.73,Standard,-9.5,-122,fanduel,10.5,-110,mybookieag,-9.5,-122,fanduel,0.5495,0.5
9c5cf55e5371dd6178da97dcaef2bff5,2026-09-21T21:56:06+00:00,2026-09-26T21:00:00Z,4,4,Week 4,FBS vs FBS,Penn State,Wisconsin,9,-13.65,-9.72,Penn State,3.93,Standard,-9.5,-108,fanduel,10.0,-110,mybookieag,-9.5,-108,fanduel,0.5192,0.22
9e0eaa3fed3125ec9629a777bf077185,2026-09-21T00:31:51+00:00,2026-09-24T23:30:00Z,4,4,Week 4,FBS vs FBS,Coastal Carolina,Liberty,8,9.33,2.12,Liberty,7.21,Standard,2.5,-110,betmgm,-1.5,-115,fanduel,-1.5,-115,fanduel,0.5349,0.62
9e0eaa3fed3125ec9629a777bf077185,2026-09-21T21:56:06+00:00,2026-09-24T23:30:00Z,4,4,Week 4,FBS vs FBS,Coastal Carolina,Liberty,9,9.34,2.44,Liberty,6.9,Standard,2.5,-101,lowvig,-2.0,-110,mybookieag,-2.0,-110,mybookieag,0.5238,0.44
a14ae60e9aac7b91d0acbdae745873b4,2026-09-21T00:31:51+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Kent State,Ball State,8,-0.53,-3.25,Ball State,2.72,Standard,-3.0,-110,mybookieag,3.5,-110,betrivers,3.5,-110,betrivers,0.5238,0.25
a14ae60e9aac7b91d0acbdae745873b4,2026-09-21T21:56:06+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Kent State,Ball State,9,-0.46,-3.06,Ball State,2.6,Standard,-3.0,-110,mybookieag,3.5,-122,fanduel,3.5,-122,fanduel,0.5495,0.44
